Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Url,SerializedViewModel,Mean,Error,StdDev,Median,Min,Op/s,ETW log file,ProcessRequest,WriteHtmlResponse,BuildView,BindableObject.GetValue,Lifecycle events,Deserialize,ResolveCommand,Serialize,Gen 0,Gen 1,Gen 2,Allocated
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/EnabledProperty/EnabledProperty,48wkrmY2JnsajIZw_-615688262,523.7745 us,7.1030 us,6.6441 us,523.7536 us,512.7186 us,1909.22,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.07 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/EnabledProperty/EnabledProperty,?,514.6257 us,4.6242 us,4.3255 us,513.7078 us,508.2546 us,1943.16,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.09 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/EnvironmentView/EnvironmentViewTest,?,384.7035 us,6.9623 us,6.1719 us,385.1812 us,369.9345 us,2599.4,-,73.95234%,41.42505%,6.941347%,1.948586%,6.107915%,0%,0%,10.32594%,-,-,-,0.06 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/FileUpload/FileSize,?,630.8690 us,12.0145 us,14.3023 us,624.6069 us,617.7182 us,1585.12,-,91.04169%,32.18679%,7.434418%,1.708936%,1.915751%,0%,0%,42.22271%,-,-,-,0.1 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/FileUpload/FileUpload,5uUBQ9HnXNzJAcTO_-1936229178,"1,407.4202 us",99.0462 us,290.4854 us,"1,263.7045 us","1,180.3165 us",710.52,-,91.91812%,0%,1.862334%,23.95922%,46.18507%,5.987431%,2.209825%,17.46006%,-,-,-,0.09 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/FileUpload/FileUpload,?,"1,242.5144 us",54.7429 us,157.9457 us,"1,148.2860 us","1,116.2177 us",804.82,-,91.61353%,21.13909%,2.010159%,23.68961%,45.76894%,0%,0%,19.24781%,-,-,-,0.13 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/FileUpload/IsAllowedOrNot,?,664.8292 us,6.8738 us,6.4298 us,663.5027 us,657.1326 us,1504.15,-,84.20164%,33.67433%,4.10251%,1.318287%,2.256908%,0%,0%,38.4729%,-,-,-,0.11 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/ColumnVisible,c24a1a1a1a1sortBinding_346240866,"3,375.2935 us",340.1576 us,"1,002.9623 us","3,265.3690 us","1,496.7741 us",296.27,-,92.47272%,0%,2.431636%,3.240798%,18.98004%,15.1749%,3.236649%,33.47027%,-,-,-,0.29 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/ColumnVisible,c24a1a1a2a1sortBinding_-141826563,"3,030.9187 us",243.0556 us,716.6548 us,"3,023.9588 us","1,562.5265 us",329.93,-,92.5776%,0%,2.607984%,3.227314%,18.72225%,15.15393%,3.461024%,33.33227%,5.1367,-,-,0.28 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/ColumnVisible,c24a1a1a3a1sortBinding_-895652328,"1,613.9196 us",27.1588 us,21.2038 us,"1,617.2616 us","1,572.1063 us",619.61,-,93.3114%,0%,2.521767%,3.325242%,19.2222%,15.28608%,3.553946%,33.59547%,4.6680,-,-,0.28 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/ColumnVisible,?,"2,479.2015 us",12.1946 us,9.5207 us,"2,480.2270 us","2,463.9676 us",403.36,-,95.79404%,18.49827%,1.575632%,2.059355%,9.422996%,0%,0%,8.125793%,2.2656,-,-,0.36 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,CCicJLu1n7fgWh8v_-201957016,"6,380.8214 us",147.9207 us,158.2734 us,"6,320.4524 us","6,224.3496 us",156.72,-,97.26632%,0%,0.7234315%,8.841229%,24.9872%,10.25608%,4.231754%,8.713188%,-,-,-,1.43 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,CCicJLu1n7fgWh8v_-2060472257,"6,525.7503 us",128.5769 us,153.0616 us,"6,489.6611 us","6,342.8033 us",153.24,-,97.42226%,0%,0.7610475%,8.31424%,25.36825%,10.32733%,4.615385%,8.060556%,-,-,-,1.43 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewInlineEditing,CCicJLu1n7fgWh8v_-238015673,"6,551.1575 us",126.9471 us,155.9025 us,"6,472.1246 us","6,364.8852 us",152.64,-,97.59458%,0%,0.7338552%,8.480104%,25.38323%,10.84475%,3.685584%,8.235486%,-,-,-,1.43 MB
