Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Url,SerializedViewModel,Mean,Error,StdDev,Median,Min,Op/s,ETW log file,ProcessRequest,WriteHtmlResponse,BuildView,BindableObject.GetValue,Lifecycle events,Deserialize,ResolveCommand,Serialize,Gen 0,Gen 1,Gen 2,Allocated
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/RadioButton/RadioButton,?,676.8561 us,1.7925 us,1.4968 us,677.0886 us,674.0399 us,1477.42,-,82.33086%,36.02627%,4.253101%,4.701344%,22.55812%,0%,0%,15.50089%,-,-,-,0.15 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Repeater/NestedRepeater,YNlzcbIUmvvySjnJ_-1195052414,"1,891.3586 us",181.4113 us,526.3070 us,"1,691.9236 us","1,392.7225 us",528.72,-,91.217%,0%,1.770457%,11.11539%,54.73533%,11.07433%,4.523644%,6.432658%,4.6094,-,-,0.37 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Repeater/NestedRepeater,YNlzcbIUmvvySjnJ_-1566069234,"1,861.6096 us",116.8503 us,337.1398 us,"1,827.9727 us","1,396.1769 us",537.17,-,91.37299%,0%,1.69635%,11.30605%,53.83731%,11.47278%,4.396867%,6.782872%,7.8906,-,-,0.37 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Repeater/NestedRepeater,YNlzcbIUmvvySjnJ_-1647425529,"1,999.3583 us",150.7866 us,430.2026 us,"1,906.3626 us","1,416.5995 us",500.16,-,91.41674%,0%,1.700387%,11.08455%,54.41115%,11.22502%,4.432096%,6.675867%,7.6172,-,-,0.37 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Repeater/NestedRepeater,YNlzcbIUmvvySjnJ_-2120315380,"1,953.8201 us",190.8975 us,556.8570 us,"1,826.1469 us","1,417.9015 us",511.82,-,100%,0%,1.842484%,11.81905%,59.58251%,12.37553%,4.965653%,7.164918%,3.7109,-,-,0.37 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Repeater/NestedRepeater,YNlzcbIUmvvySjnJ_-78693237,"1,585.6358 us",55.7315 us,150.6734 us,"1,531.2416 us","1,400.7060 us",630.66,-,91.50259%,0%,1.698031%,10.93803%,54.86914%,11.09404%,4.393837%,6.461952%,7.8320,-,-,0.37 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Repeater/NestedRepeater,YNlzcbIUmvvySjnJ_394196614,"1,987.1471 us",142.5472 us,413.5552 us,"1,891.9603 us","1,419.2498 us",503.23,-,90.91254%,0%,1.737705%,11.01117%,54.52109%,10.90226%,4.450726%,6.363425%,7.6758,-,-,0.37 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Repeater/NestedRepeater,?,"3,353.9177 us",245.0318 us,722.4818 us,"3,409.9110 us","1,946.3883 us",298.16,-,92.05788%,37.23441%,1.506605%,12.75388%,48.04556%,0%,0%,6.170592%,7.3438,-,-,0.48 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Repeater/RouteLink,?,957.1365 us,4.3352 us,4.0551 us,956.5059 us,950.7045 us,1044.78,-,87.70527%,47.84644%,2.758571%,6.885624%,28.35638%,0%,0%,6.388649%,-,-,-,0.23 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Repeater/RouteLinkUrlSuffix,?,998.5017 us,3.5889 us,3.1815 us,999.1846 us,993.0525 us,1001.5,-,86.7014%,48.05319%,2.72827%,6.992048%,27.694%,0%,0%,6.471072%,-,-,-,0.23 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/RepeaterWrapperTag/RepeaterWrapperTag,?,"1,785.1137 us",133.4803 us,385.1211 us,"1,722.6136 us","1,191.9157 us",560.19,-,87.18684%,35.83859%,3.471027%,10.56607%,45.57277%,0%,0%,3.270224%,-,-,-,0.34 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/RouteLink/RouteLinkEnabled,?,489.7966 us,1.6593 us,1.5521 us,490.1505 us,487.6030 us,2041.66,-,71.94584%,50.35752%,6.663624%,2.571124%,3.651301%,0%,0%,8.732695%,-,-,-,0.09 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/RouteLink/RouteLinkEnabledFalse,?,448.3722 us,2.1872 us,1.9389 us,448.2749 us,444.5600 us,2230.29,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.07 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/RouteLink/TestRoute,?,337.3053 us,1.6194 us,1.5148 us,337.5768 us,334.5792 us,2964.67,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.04 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/SpaContentPlaceHolder/Default,?,545.2847 us,1.7949 us,1.6789 us,545.6906 us,542.2102 us,1833.9,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.1 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/SpaContentPlaceHolder/PageB,2mmYXUEJSEYzdQm_-1218405153,869.4270 us,4.1704 us,3.4825 us,868.9516 us,864.0636 us,1150.18,-,81.16916%,0%,9.297832%,4.342349%,20.72904%,12.43911%,4.90509%,9.465816%,-,-,-,0.16 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/SpaContentPlaceHolder/PageB,5reFRmMDK6AmfXs8_-1613530035,829.2812 us,4.4296 us,4.1435 us,827.7638 us,824.9649 us,1205.86,-,81.41538%,0%,9.063397%,3.499651%,10.04113%,12.38457%,6.944983%,0%,-,-,-,0.12 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/SpaContentPlaceHolder/PageB,?,957.4531 us,5.6343 us,4.9946 us,955.7905 us,949.0941 us,1044.44,-,100%,55.85001%,9.179873%,6.287347%,20.27366%,0%,0%,9.508964%,-,-,-,0.24 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/SpaContentPlaceHolder_PrefixRouteName/Default,?,605.2717 us,13.9289 us,16.0405 us,602.2350 us,588.3642 us,1652.15,-,68.40015%,41.55703%,9.630206%,2.499027%,5.044765%,0%,0%,6.383807%,-,-,-,0.11 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/SpaContentPlaceHolder_PrefixRouteName/PageB,B6w9jMrSaEOovd83_-470989065,920.6631 us,3.7681 us,3.3404 us,920.8933 us,913.7496 us,1086.17,-,79.10229%,0%,8.93859%,4.204135%,20.39812%,11.68242%,5.20329%,9.299823%,-,-,-,0.16 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/SpaContentPlaceHolder_PrefixRouteName/PageB,VDJsXLag9l0lFvc_463003217,866.4761 us,4.0333 us,3.7727 us,866.6076 us,859.7385 us,1154.1,-,77.08955%,0%,8.261194%,2.701493%,9.589552%,11.99254%,5.492537%,0%,-,-,-,0.13 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/SpaContentPlaceHolder_PrefixRouteName/PageB,?,999.2368 us,6.5673 us,6.1431 us,998.2118 us,990.6817 us,1000.76,-,80.82346%,45.74168%,7.712916%,5.174845%,16.51156%,0%,0%,6.838691%,-,-,-,0.24 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/TextBox/IntBoundTextBox,9TXS4kpfHFpxcX1A_1048514113,458.0428 us,8.1568 us,7.6299 us,455.2636 us,447.2947 us,2183.2,-,69.26693%,0%,0%,1.645481%,3.787219%,10.4475%,5.615532%,9.559464%,-,-,-,0.05 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/TextBox/IntBoundTextBox,?,452.6766 us,5.8927 us,5.5120 us,451.1174 us,446.3466 us,2209.08,-,68.07539%,42.06745%,0%,2.020117%,4.479756%,0%,0%,9.517369%,-,-,-,0.07 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/TextBox/SimpleDateBox,bIFjCheC9ASgXfS_380530846,821.9857 us,5.3796 us,4.7688 us,822.9859 us,814.2934 us,1216.57,-,81.68987%,0%,3.461758%,1.049018%,3.061224%,5.836353%,3.766927%,44.03014%,-,-,-,0.08 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/TextBox/SimpleDateBox,?,787.0430 us,4.1170 us,3.6496 us,785.5587 us,783.3925 us,1270.58,-,81.70893%,25.7312%,3.322435%,1.351948%,3.172219%,0%,0%,44.34921%,-,-,-,0.09 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/TextBox/TextBox,?,401.7867 us,1.6647 us,1.3901 us,401.4039 us,400.3221 us,2488.88,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.07 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/TextBox/TextBox_Format,?,"2,723.9087 us",17.6790 us,16.5370 us,"2,720.0174 us","2,696.4563 us",367.12,-,94.28006%,11.79614%,1.909945%,0.7817912%,1.345868%,0%,0%,39.54478%,-,-,-,0.23 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/TextBox/TextBox_FormatDoubleProperty,6gdxEUyA0MlWnSK_1599501586,508.9471 us,6.5869 us,6.1614 us,510.8686 us,497.3877 us,1964.84,-,58.50681%,0%,3.631241%,1.408671%,2.191266%,9.250274%,3.897323%,8.63985%,-,-,-,0.05 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/TextBox/TextBox_FormatDoubleProperty,?,486.1259 us,2.2963 us,2.1480 us,486.5790 us,481.1288 us,2057.08,-,59.59611%,37.05779%,4.348467%,1.503538%,2.579599%,0%,0%,8.844339%,-,-,-,0.06 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/TextBox/TextBox_Format_Binding,?,"2,769.7191 us",25.9070 us,21.6335 us,"2,761.6520 us","2,746.5064 us",361.05,-,92.2842%,11.94015%,1.832247%,1.028094%,1.129886%,0%,0%,38.9658%,-,-,-,0.23 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/UpdateProgress/UpdateProgress,OiiAwG4cZ7aAq7r3_-1203842581,"2,002,943.0246 us",117.1287 us,103.8315 us,"2,002,953.1743 us","2,002,768.7706 us",0.5,-,71.45557%,0%,2.268431%,0.3780718%,2.268431%,5.293006%,3.024575%,9.829867%,-,-,-,0.06 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/UpdateProgress/UpdateProgress,zJU5paXgacIqYHz_1381705676,552.3444 us,2.4010 us,2.1284 us,552.3195 us,548.2842 us,1810.46,-,100%,0%,4.583622%,1.323718%,0.8693075%,7.636076%,4.652771%,0%,-,-,-,0.05 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/UpdateProgress/UpdateProgress,?,468.5898 us,1.7436 us,1.6309 us,468.3991 us,465.9385 us,2134.06,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.07 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/ValidationSummary/RecursiveValidationSummary,04M613Fa5pxdOGX_-150274056,687.2096 us,5.2437 us,4.9050 us,685.6260 us,681.0518 us,1455.16,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.09 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/ValidationSummary/RecursiveValidationSummary,04M613Fa5pxdOGX_-1567145006,663.3865 us,3.0062 us,2.6649 us,663.0012 us,659.0603 us,1507.42,-,69.89636%,0%,4.542873%,1.213799%,1.178308%,16.02073%,4.571267%,0%,-,-,-,0.08 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/ValidationSummary/RecursiveValidationSummary,04M613Fa5pxdOGX_1404364141,669.3248 us,3.7784 us,3.3495 us,668.3170 us,666.2131 us,1494.04,-,60.77579%,0%,3.782249%,1.184219%,0.8519123%,12.8814%,4.428735%,0%,-,-,-,0.08 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/ValidationSummary/RecursiveValidationSummary,?,691.9746 us,2.8711 us,2.6856 us,691.3972 us,688.3433 us,1445.14,-,69.84637%,44.29341%,4.648918%,2.605968%,3.136813%,0%,0%,16.15861%,-,-,-,0.13 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/BindingContexts/BindingContext,V8Q9UGRsPhCXwDEX_-1471671994,"2,550.3361 us",243.8481 us,718.9917 us,"2,441.5087 us","1,344.8529 us",392.11,-,100%,0%,3.513259%,12.46%,46.64819%,15.65465%,6.352154%,10.28546%,5.1953,-,-,0.29 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/BindingContexts/BindingContext,hzYWLPceb58svZbO_-1870074159,"2,210.9077 us",189.1338 us,548.7113 us,"2,192.8206 us","1,336.9257 us",452.3,-,89.80145%,0%,3.162524%,11.00169%,42.05814%,14.14578%,5.866863%,8.937223%,1.2891,-,-,0.29 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/BindingContexts/BindingContext,ltJI3TVUH72gSoY_-660606997,"2,348.0920 us",194.1480 us,572.4499 us,"2,222.9880 us","1,358.4431 us",425.88,-,90.04482%,0%,3.108672%,11.39087%,43.19903%,14.29821%,4.91707%,8.801112%,4.5508,-,-,0.29 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/BindingContexts/BindingContext,s8P6cYUgTcpVEu_997548090,"2,226.7100 us",210.3134 us,610.1574 us,"2,189.0231 us","1,344.8679 us",449.09,-,89.10181%,0%,3.115946%,10.70757%,42.57358%,13.79556%,5.408428%,8.798862%,2.6563,-,-,0.29 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/BindingContexts/BindingContext,zIeARKXkMHdAV7nB_-987679904,"1,420.1192 us",21.0018 us,18.6176 us,"1,421.9815 us","1,390.7273 us",704.17,-,88.83551%,0%,3.088531%,10.60693%,42.95466%,13.96027%,4.354017%,9.028729%,5.0391,-,-,0.28 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/BindingContexts/BindingContext,?,"3,028.5007 us",288.4040 us,850.3656 us,"3,044.0488 us","1,473.3516 us",330.2,-,90.40978%,53.63475%,2.623719%,10.41537%,26.29521%,0%,0%,7.795947%,5.9375,-,-,0.45 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/BindingNamespaces/BindingUsingNamespace,?,464.8509 us,1.9960 us,1.7694 us,465.2670 us,461.7034 us,2151.23,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.08 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/BindingPageInfo/BindingPageInfo,zyNxLRlvHyspueqX_1578228669,"1,002,846.4891 us",107.2519 us,100.3235 us,"1,002,873.6886 us","1,002,649.9610 us",1,-,71.07943%,0%,4.276986%,2.240326%,5.09165%,5.906314%,4.887984%,11.20163%,-,-,-,0.06 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/BindingPageInfo/BindingPageInfo,?,440.7564 us,1.6546 us,1.5477 us,440.5392 us,437.6655 us,2268.83,-,66.11153%,45.02637%,6.443105%,2.984175%,3.639789%,0%,0%,8.425019%,-,-,-,0.06 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/ChildViewModelInvokeMethods/ChildViewModelInvokeMethods,?,598.3095 us,1.4517 us,1.2869 us,598.1077 us,596.5599 us,1671.38,-,72.21548%,39.7719%,7.522446%,2.402329%,4.028149%,0%,0%,11.48993%,-,-,-,0.13 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/ClientExtenders/PasswordStrength,?,570.8548 us,3.2933 us,3.0806 us,570.8273 us,566.6216 us,1751.76,-,73.89471%,55.27728%,3.590595%,1.086123%,2.031689%,0%,0%,7.577307%,-,-,-,0.07 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/CommandArguments/CommandArguments,?,446.3918 us,4.0742 us,3.8111 us,444.8627 us,442.0115 us,2240.18,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.06 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/ConditionalCssClasses/ConditionalCssClasses,IHWkhIbPRcSoPG7o_-1504467422,477.8773 us,6.6592 us,6.2290 us,479.4116 us,468.2840 us,2092.59,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.06 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/ConditionalCssClasses/ConditionalCssClasses,TYUqWFS4FwIF6kJ4_-173102244,475.5253 us,7.2734 us,6.8035 us,475.8114 us,465.6453 us,2102.94,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.06 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/ConditionalCssClasses/ConditionalCssClasses,eo7CA5S1KU2rg5Qk_-1223969538,482.0637 us,5.2752 us,4.9344 us,483.5344 us,472.0480 us,2074.41,-,100%,0%,9.022556%,3.218573%,2.87561%,14.3121%,8.402585%,13.96913%,-,-,-,0.06 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/ConditionalCssClasses/ConditionalCssClasses,?,505.3588 us,3.0712 us,2.8728 us,504.0525 us,501.9404 us,1978.79,-,67.75406%,45.00902%,5.306674%,2.029465%,2.315093%,0%,0%,8.132892%,-,-,-,0.08 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/DateTimeSerialization/DateTimeSerialization,J0LMiY1xf157v3R_2112054797,"2,440.7060 us",182.4813 us,538.0501 us,"2,375.7875 us","1,461.4917 us",409.72,-,100%,0%,2.984809%,0.8380287%,1.868626%,71.6354%,2.678126%,4.154482%,-,-,-,0.09 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/FeatureSamples/DateTimeSerialization/DateTimeSerialization,Z4fD4idQeiF9mqRv_-1672358123,"1,819.1787 us",171.5841 us,500.5189 us,"1,684.3294 us","1,238.2304 us",549.7,-,85.74236%,0%,2.55092%,0.9365381%,1.584911%,61.10748%,2.84236%,3.775624%,-,-,-,0.09 MB
